scope,model,metric,value,denominator
three_way_overlap,gemini-2.5-flash,location_accuracy_all_visible_falls,0.4473684210526316,38.0
three_way_overlap,gemini-2.5-flash,location_accuracy_detected_visible_falls,0.53125,32.0
three_way_overlap,gemini-2.5-flash,last_furniture_accuracy_all_visible_falls,0.7333333333333333,15.0
three_way_overlap,gemini-2.5-flash,last_furniture_accuracy_detected_visible_falls,0.9166666666666666,12.0
three_way_overlap,gemini-2.5-flash,fall_tag_exact_match_rate_detected_visible_falls,0.03125,32.0
three_way_overlap,gemini-2.5-flash,fall_tag_jaccard_mean_detected_visible_falls,0.11979166666666667,32.0
three_way_overlap,gemini-2.5-flash,fall_time_mae_seconds_detected_visible_falls,1199.3870967741937,31.0
three_way_overlap,gemini-2.5-flash,response_time_mae_seconds_detected_visible_falls,1302.5714285714287,28.0
full_success_set,gemini-3.1-pro-preview,rows_total,72.0,
full_success_set,gemini-3.1-pro-preview,visible_primary_rows,49.0,
full_success_set,gemini-3.1-pro-preview,visible_fall_rows,43.0,
full_success_set,gemini-3.1-pro-preview,visible_nonfall_rows,6.0,
full_success_set,gemini-3.1-pro-preview,tp,20.0,43.0
full_success_set,gemini-3.1-pro-preview,fn,23.0,43.0
full_success_set,gemini-3.1-pro-preview,fp,0.0,6.0
full_success_set,gemini-3.1-pro-preview,tn,6.0,6.0
full_success_set,gemini-3.1-pro-preview,visible_fall_sensitivity,0.46511627906976744,43.0
full_success_set,gemini-3.1-pro-preview,visible_nonfall_specificity,1.0,6.0
full_success_set,gemini-3.1-pro-preview,location_accuracy_all_visible_falls,0.3023255813953488,43.0
full_success_set,gemini-3.1-pro-preview,location_accuracy_detected_visible_falls,0.65,20.0
full_success_set,gemini-3.1-pro-preview,last_furniture_accuracy_all_visible_falls,0.3888888888888889,18.0
full_success_set,gemini-3.1-pro-preview,last_furniture_accuracy_detected_visible_falls,0.7777777777777778,9.0
full_success_set,gemini-3.1-pro-preview,fall_tag_exact_match_rate_detected_visible_falls,0.1,20.0
full_success_set,gemini-3.1-pro-preview,fall_tag_jaccard_mean_detected_visible_falls,0.19750000000000004,20.0
full_success_set,gemini-3.1-pro-preview,fall_time_mae_seconds_detected_visible_falls,92.45,20.0
full_success_set,gemini-3.1-pro-preview,response_time_mae_seconds_detected_visible_falls,69.3125,16.0
three_way_overlap,gemini-3.1-pro-preview,rows_total,59.0,
three_way_overlap,gemini-3.1-pro-preview,visible_primary_rows,42.0,
three_way_overlap,gemini-3.1-pro-preview,visible_fall_rows,38.0,
three_way_overlap,gemini-3.1-pro-preview,visible_nonfall_rows,4.0,
three_way_overlap,gemini-3.1-pro-preview,tp,17.0,38.0
three_way_overlap,gemini-3.1-pro-preview,fn,21.0,38.0
three_way_overlap,gemini-3.1-pro-preview,fp,0.0,4.0
three_way_overlap,gemini-3.1-pro-preview,tn,4.0,4.0
three_way_overlap,gemini-3.1-pro-preview,visible_fall_sensitivity,0.4473684210526316,38.0
three_way_overlap,gemini-3.1-pro-preview,visible_nonfall_specificity,1.0,4.0
three_way_overlap,gemini-3.1-pro-preview,location_accuracy_all_visible_falls,0.2631578947368421,38.0
three_way_overlap,gemini-3.1-pro-preview,location_accuracy_detected_visible_falls,0.5882352941176471,17.0
three_way_overlap,gemini-3.1-pro-preview,last_furniture_accuracy_all_visible_falls,0.375,16.0
three_way_overlap,gemini-3.1-pro-preview,last_furniture_accuracy_detected_visible_falls,0.8571428571428571,7.0
three_way_overlap,gemini-3.1-pro-preview,fall_tag_exact_match_rate_detected_visible_falls,0.11764705882352941,17.0
three_way_overlap,gemini-3.1-pro-preview,fall_tag_jaccard_mean_detected_visible_falls,0.21764705882352944,17.0
three_way_overlap,gemini-3.1-pro-preview,fall_time_mae_seconds_detected_visible_falls,105.52941176470588,17.0
three_way_overlap,gemini-3.1-pro-preview,response_time_mae_seconds_detected_visible_falls,77.85714285714286,14.0
full_success_set,gemini-2.5-pro,rows_total,67.0,
full_success_set,gemini-2.5-pro,visible_primary_rows,47.0,
full_success_set,gemini-2.5-pro,visible_fall_rows,42.0,
full_success_set,gemini-2.5-pro,visible_nonfall_rows,5.0,
full_success_set,gemini-2.5-pro,tp,30.0,42.0
full_success_set,gemini-2.5-pro,fn,12.0,42.0
full_success_set,gemini-2.5-pro,fp,0.0,5.0
full_success_set,gemini-2.5-pro,tn,5.0,5.0
full_success_set,gemini-2.5-pro,visible_fall_sensitivity,0.7142857142857143,42.0
full_success_set,gemini-2.5-pro,visible_nonfall_specificity,1.0,5.0
full_success_set,gemini-2.5-pro,location_accuracy_all_visible_falls,0.4523809523809524,42.0
full_success_set,gemini-2.5-pro,location_accuracy_detected_visible_falls,0.6333333333333333,30.0
full_success_set,gemini-2.5-pro,last_furniture_accuracy_all_visible_falls,0.5882352941176471,17.0
full_success_set,gemini-2.5-pro,last_furniture_accuracy_detected_visible_falls,0.8333333333333334,12.0
full_success_set,gemini-2.5-pro,fall_tag_exact_match_rate_detected_visible_falls,0.03333333333333333,30.0
full_success_set,gemini-2.5-pro,fall_tag_jaccard_mean_detected_visible_falls,0.22166666666666665,30.0
full_success_set,gemini-2.5-pro,fall_time_mae_seconds_detected_visible_falls,472.73333333333335,30.0
full_success_set,gemini-2.5-pro,response_time_mae_seconds_detected_visible_falls,286.42857142857144,21.0
three_way_overlap,gemini-2.5-pro,rows_total,59.0,
three_way_overlap,gemini-2.5-pro,visible_primary_rows,42.0,
three_way_overlap,gemini-2.5-pro,visible_fall_rows,38.0,
three_way_overlap,gemini-2.5-pro,visible_nonfall_rows,4.0,
three_way_overlap,gemini-2.5-pro,tp,26.0,38.0
three_way_overlap,gemini-2.5-pro,fn,12.0,38.0
three_way_overlap,gemini-2.5-pro,fp,0.0,4.0
three_way_overlap,gemini-2.5-pro,tn,4.0,4.0
three_way_overlap,gemini-2.5-pro,visible_fall_sensitivity,0.6842105263157895,38.0
three_way_overlap,gemini-2.5-pro,visible_nonfall_specificity,1.0,4.0
three_way_overlap,gemini-2.5-pro,location_accuracy_all_visible_falls,0.4473684210526316,38.0
three_way_overlap,gemini-2.5-pro,location_accuracy_detected_visible_falls,0.6538461538461539,26.0
three_way_overlap,gemini-2.5-pro,last_furniture_accuracy_all_visible_falls,0.6,15.0
three_way_overlap,gemini-2.5-pro,last_furniture_accuracy_detected_visible_falls,0.9,10.0
three_way_overlap,gemini-2.5-pro,fall_tag_exact_match_rate_detected_visible_falls,0.038461538461538464,26.0
three_way_overlap,gemini-2.5-pro,fall_tag_jaccard_mean_detected_visible_falls,0.25576923076923075,26.0
three_way_overlap,gemini-2.5-pro,fall_time_mae_seconds_detected_visible_falls,520.6153846153846,26.0
three_way_overlap,gemini-2.5-pro,response_time_mae_seconds_detected_visible_falls,332.27777777777777,18.0
